date,time,overpoints,click,mode_id,productive
2017-05-25,09:00:00,0,0,2,0
2017-05-25,09:00:01,0,0,2,0
2017-05-25,09:00:02,0,0,3,0
2017-05-25,09:00:03,0,0,3,0
2017-05-25,09:00:04,0,0,3,0
2017-05-25,09:00:05,0,0,3,0
2017-05-25,09:00:06,0,0,3,0
2017-05-25,09:00:07,0,0,3,0
2017-05-25,09:00:08,0,0,3,0
2017-05-25,09:00:09,0,0,3,0
2017-05-25,09:00:10,0,0,3,0
2017-05-25,09:00:11,0,0,3,0
2017-05-25,09:00:12,0,0,3,0
2017-05-25,09:00:13,0,0,3,0
2017-05-25,09:00:14,0,0,3,0
2017-05-25,09:00:15,0,0,3,0
2017-05-25,09:00:16,0,0,3,0
2017-05-25,09:00:17,0,0,3,0
2017-05-25,09:00:18,0,0,3,0
2017-05-25,09:00:19,0,0,3,0
2017-05-25,09:00:20,0,0,3,0
2017-05-25,09:00:21,0,0,3,0
2017-05-25,09:00:22,0,0,3,0
2017-05-25,09:00:23,0,0,3,0
2017-05-25,09:00:24,0,0,3,0
2017-05-25,09:00:25,0,0,3,0
2017-05-25,09:00:26,0,0,3,0
2017-05-25,09:00:27,0,0,3,0
2017-05-25,09:00:28,0,0,3,0
2017-05-25,09:00:29,0,0,3,0
2017-05-25,09:00:30,0,0,3,0
2017-05-25,09:00:31,0,0,3,0
2017-05-25,09:00:32,0,0,3,0
2017-05-25,09:00:33,0,0,3,0
2017-05-25,09:00:34,0,0,3,0
2017-05-25,09:00:35,0,0,3,0
2017-05-25,09:00:36,0,0,3,0
2017-05-25,09:00:37,0,0,3,0
2017-05-25,09:00:38,0,0,3,0
2017-05-25,09:00:39,0,0,3,0
2017-05-25,09:00:40,0,0,3,0
2017-05-25,09:00:41,0,0,3,0
2017-05-25,09:00:42,0,0,3,0
2017-05-25,09:00:43,0,0,3,0
2017-05-25,09:00:44,0,0,3,0
2017-05-25,09:00:45,0,0,3,0
2017-05-25,09:00:46,0,0,3,0
2017-05-25,09:00:47,0,0,3,0
2017-05-25,09:00:48,0,0,3,0
2017-05-25,09:00:49,0,0,3,0
2017-05-25,09:00:50,0,0,3,0
2017-05-25,09:00:51,0,0,3,0
2017-05-25,09:00:52,0,0,3,0
2017-05-25,09:00:53,0,0,3,0
2017-05-25,09:00:54,0,0,3,0
2017-05-25,09:00:55,0,0,3,0
2017-05-25,09:00:56,0,0,3,0
2017-05-25,09:00:57,0,0,3,0
2017-05-25,09:00:58,0,0,3,0
2017-05-25,09:00:59,0,0,3,0
2017-05-25,09:01:00,0,0,3,0
2017-05-25,09:01:01,0,0,3,0
2017-05-25,09:01:02,0,0,4,0
2017-05-25,09:01:03,0,0,4,0
2017-05-25,09:01:04,0,0,4,0
2017-05-25,09:01:05,0,0,4,0
2017-05-25,09:01:06,0,0,4,0
2017-05-25,09:01:07,0,0,4,0
2017-05-25,09:01:08,0,0,4,0
2017-05-25,09:01:09,0,0,4,0
2017-05-25,09:01:10,0,0,4,0
2017-05-25,09:01:11,0,0,4,0
2017-05-25,09:01:12,0,0,4,0
2017-05-25,09:01:13,0,0,4,0
2017-05-25,09:01:14,0,0,4,0
2017-05-25,09:01:15,0,0,4,0
